DOI,DOI -- 746
10.1038/nature12670,10.1038/nature12670
10.5194/cp-9-1111-2013,10.5194/cp-9-1111-2013
10.1016/j.compfluid.2013.04.029,10.1016/j.compfluid.2013.04.029
10.1175/JCLI-D-12-00001.1,10.1175/JCLI-D-12-00001.1
10.1007/s13280-012-0343-9,10.1007/s13280-012-0343-9
10.5194/acp-13-2793-2013,10.5194/acp-13-2793-2013
10.3989/egeol.40862.219,10.3989/egeol.40862.219
10.1111/j.1654-1103.2012.01480.x,10.1111/j.1654-1103.2012.01480.x
10.1016/j.quaint.2012.05.001,10.1016/j.quaint.2012.05.001
10.1177/0959683612450196,10.1177/0959683612450196
10.1002/grl.50195,10.1002/grl.50195
10.1007/s00382-013-1823-8,10.1007/s00382-013-1823-8
10.5027/andgeoV40n2-a10,10.5027/andgeoV40n2-a10
10.1175/JCLI-D-12-00584.1,10.1175/JCLI-D-12-00584.1
10.1016/j.dynatmoce.2013.11.001,10.1016/j.dynatmoce.2013.11.001
10.1038/NGEO1797,10.1038/NGEO1797
10.1108/DPM-07-2013-0130,10.1108/DPM-07-2013-0130
10.1016/j.ecss.2013.09.019,10.1016/j.ecss.2013.09.019
10.4209/aaqr.2013.03.0082,10.4209/aaqr.2013.03.0082
10.1371/journal.pone.0063956,10.1371/journal.pone.0063956
10.1016/j.pocean.2013.03.005,10.1016/j.pocean.2013.03.005
10.1038/ngeo1832,10.1038/ngeo1832
10.1175/JHM-D-12-0135.1,10.1175/JHM-D-12-0135.1
10.1038/nclimate1936,10.1038/nclimate1936
10.1002/palo.20047,10.1002/palo.20047
10.1007/s10980-013-9959-9,10.1007/s10980-013-9959-9
10.1111/aec.12054,10.1111/aec.12054
10.1007/s10980-013-9958-x,10.1007/s10980-013-9958-x
10.3402/tellusb.v65i0.19822,10.3402/tellusb.v65i0.19822
10.1002/joc.3724,10.1002/joc.3724
10.1068/c12173,10.1068/c12173
10.5194/acp-13-3409-2013,10.5194/acp-13-3409-2013
10.1002/jgrd.50293,10.1002/jgrd.50293
10.1038/ncomms3758,10.1038/ncomms3758
10.1016/j.gloenvcha.2014.10.010,10.1016/j.gloenvcha.2014.10.010
10.1177/0263774X15614734,10.1177/0263774X15614734
10.3354/cr01268,10.3354/cr01268
10.1016/j.pocean.2014.12.016,10.1016/j.pocean.2014.12.016
10.5194/bg-12-1925-2015,10.5194/bg-12-1925-2015
10.1016/j.compfluid.2013.11.012,10.1016/j.compfluid.2013.11.012
10.4319/lo.2014.59.6.1865,10.4319/lo.2014.59.6.1865
10.1002/2013JD021160,10.1002/2013JD021160
10.1016/j.quaint.2014.09.076,10.1016/j.quaint.2014.09.076
10.1002/2013JD021110,10.1002/2013JD021110
10.1007/s10980-014-9993-2,10.1007/s10980-014-9993-2
10.1002/joc.4120,10.1002/joc.4120
10.1016/j.quascirev.2014.01.024,10.1016/j.quascirev.2014.01.024
10.1093/mnras/stt2404,10.1093/mnras/stt2404
10.1126/science.1245424,10.1126/science.1245424
