N;Funding Year;Report 4.5;Manual Tags;Research Lines;Publication Year;Author original;Author;File Attachments;Link Attachments;Manual Tags.1;Lines Collaboration;N.1;Title of publication;Journal;Volume;Pages;Year;CR2 ;Researchers;Principal Researchers;Full time Researchers;Associate Researchers;Adjoint Researchers;Postdoc.;Undergraduated Students;Graduated Students;FONDAP;FONDECYT;FONDEF;BASAL;ICM;OTHER (especify);ESPECIFY;Journal Name;ISSN;Name Check;Sub Category;Journal Rank;% Journal Rank;Is it top 10 in category;Journal Impact Factor;5 year Journal Impact Factor;Scimago Quartile;Copy for Cites Title;Copy for Cites DOI;DOI WOS;WOS Title;Total Citations 2017;Total Citations;Average per Year;c2012;c2013;c2014;c2015;c2016;c2017;c2018;c2019;c2020;c2021;c2022;DOI AFF;AFF Countries;AFF Institutions;TI WOS;Control doi diff;Int collaboration;Nat collab;N° collaboration national WOS;N° collaboration national SCOPUS;CR2;OTHER (specify)
94.0;2015;si;Dinámica del Clima;CD;2015;"Moreno, Patricio I.; Denton, George H.; Moreno, Hugo; Lowell, Thomas V.; Putnam, Aaron E.; Kaplan, Michael R.";Moreno, P. I., Denton, G. H., Moreno, H., Lowell, T. V., Putnam, A. E., & Kaplan, M. R.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/moreno_et_al_2015_radiocarbon_chronology_of_the_last_glacial_maximum_and_its_termination_in.pdf;;Dinámica del Clima;1.0;94.0;Radiocarbon chronology of the last glacial maximum and its termination in northwestern Patagonia;Quaternary Science Reviews;vol.122;233-249;2015;1.0;1;;;;;0.0;0.0;0.0;20;;;;;80;otros;Quaternary Science Reviews;0277-3791;QUATERNARY SCI REV;Geosciences, Multidisciplinary;10/184;5,43478260869565%;1;4,521;4,915;Q1;Radiocarbon chronology of the last glacial maximum and its termination in northwestern Patagonia;10.1016/j.quascirev.2015.05.027;10.1016/j.quascirev.2015.05.027;Radiocarbon chronology of the last glacial maximum and its termination in northwestern Patagonia;22.0;28;7;0;0;0;0;7;15;6;;;;;10.1016/j.quascirev.2015.05.027;{ME 04469 USA, OH 45221 USA, NY USA, Chile};"{ Univ Chile, Dept Ecol Sci, Millennium Inst Ecol & Biodivers, Ctr Climate Res & Resilience & Millennium Nucleus, Santiago, Chile;  Univ Maine, Sch Earth & Climate Sci, Orono, ME 04469 USA;  Univ Maine, Climate Change Inst, Orono, ME 04469 USA;  Serv Nacl Geol & Min, Observ Volcanol Andes Sur, Temuco, Chile;  Univ Cincinnati, Dept Geol, Cincinnati, OH 45221 USA;  Columbia Univ, Lamont Doherty Earth Observ, Palisades, NY USA}";Radiocarbon chronology of the last glacial maximum and its termination in northwestern Patagonia;TRUE;1;1;2;2;;
95.0;2015;si;Dimensión Humana;HD;2015;"Nahuelhual, Laura; Laterra, Pedro; Villarino, Sebastián; Mastrángelo, Matías; Carmona, Alejandra; Jaramillo, Amerindia; Barral, Paula; Burgos, Néstor";Nahuelhual, L., Laterra, P., Villarino, S., Mastrángelo, M., Carmona, A., Jaramillo, A., … Burgos, N.;"/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/nahuelhual_et_al_2015_mapping_of_ecosystem_services.pdf; /home/fmunoz/.zotero/zotero/59hzcxim.default/zotero/storage/3H4BE3VF/S2212041615000340.html";;Dimensión Humana;1.0;95.0;Mapping of ecosystem services: Missing links between purposes and procedures;Ecosystem Services;vol.13;162-172;2015;0.0;;;;;;;;;;;;;;;;Ecosystem Services;2212-0416;ECOSYST SERV;Environmental Studies;4/104;3,84615384615385%;1;4,307;5,592;Q1;Mapping of ecosystem services: Missing links between purposes and procedures;10.1016/j.ecoser.2015.03.005;10.1016/j.ecoser.2015.03.005;Mapping of ecosystem services: Missing links between purposes and procedures;10.0;11;2,75;0;0;0;2;3;5;1;;;;;10.1016/j.ecoser.2015.03.005;{Argentina, Chile};"{ Univ Austral Chile, Inst Econ Agr, Valdivia, Chile;  FORECOS, Fdn Ctr Basques Nativos, Valdivia, Chile;  Univ Chile, Dept Geofis, Ctr Invest Clima & Resiliencia CR2, Santiago, Chile;  Univ Nacl Mar Plata, INTA Balcarce, Fac Ciencias Agr, RA-7620 Balcarce, Argentina;  Fdn Bariloche, San Carlos De Bariloche, Rio Negro, Argentina;  Consejo Nacl Invest Cient & Tecn, RA-1033 Buenos Aires, DF, Argentina;  Univ Austral Chile, Fac Ciencias, Inst Ciencias Ambientales & Evolut, Menc Recursos Hidr,Ciencias, Valdivia, Chile;  Univ Austral Chile, Desarrollo Rural, Valdivia, Chile}";Mapping of ecosystem services: Missing links between purposes and procedures;TRUE;1;1;5;5;;
96.0;2015;si;Dinámica del Clima;CD;2015;"Neukom, Raphael; Rohrer, Mario; Calanca, Pierluigi; Salzmann, Nadine; Huggel, Christian; Acuña, Delia; Christie, Duncan A.; Morales, Mariano S.";Neukom, R., Rohrer, M., Calanca, P., Salzmann, N., Huggel, C., Acuña, D., Christie, D. A., … Morales, M. S.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/neukom_et_al_2015_facing_unprecedented_drying_of_the_central_andes.pdf;;Dinámica del Clima;1.0;96.0;Facing unprecedented drying of the Central Andes? Precipitation variability over the period AD 1000-2100;Environmental Research Letters;vol.10 is.8;art084017;2015;1.0;1;;;;;0.0;0.0;0.0;20;;;;;;Swiss Agency for Development and Cooperation (SDC) through the Programa de Adaptación;Environmental Research Letters;1748-9326;ENVIRON RES LETT;Meteorology & Atmospheric Sciences;11/84;13,0952380952381%;0;4,134;4,828;Q1;Facing unprecedented drying of the Central Andes? Precipitation variability over the period AD 1000-2100;10.1088/1748-9326/10/8/084017;10.1088/1748-9326/10/8/084017;Facing unprecedented drying of the Central Andes? Precipitation variability over the period AD 1000-2100;11.0;18;4,5;0;0;0;1;5;5;7;;;;;10.1088/1748-9326/10/8/084017;{Switzerland, Argentina, Chile, Peru};"{ Univ Zurich, Dept Geog, Winterthurerstr 190, CH-8057 Zurich, Switzerland;  Univ Bern, Oeschger Ctr Climate Change Res, CH-3012 Bern, Switzerland;  Univ Bern, Inst Geog, CH-3012 Bern, Switzerland;  Meteodat GmbH, CH-8005 Zurich, Switzerland;  Inst Sustainabil Sci ISS, Agroscope, CH-8046 Zurich, Switzerland;  Univ Fribourg, Dept Geosci, CH-1700 Fribourg, Switzerland;  Serv Nacl Meteorol & Hidrol Peru SENAMHI, Lima 11, Peru;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Lab Dendrocronol & Cambio Global, Valdivia, Chile;  Ctr Climate & Resilience Res CR 2, Santiago, Chile;  Consejo Nacl Invest Cient & Tecn, Inst Argentino Nivol Glaciol & Ciencias Ambiental, Mendoza, Argentina}";Facing unprecedented drying of the Central Andes? Precipitation variability over the period AD 1000-2100;TRUE;1;1;2;2;;
97.0;2015;si;Dinámica del Clima;CD;2015;"Pino, Paulina; Iglesias, Verónica; Garreaud, René; Cortés, Sandra; Canals, Mauricio; Folch, Walter; Burgos, Soledad; Levy, Karen; Naeher, Luke P.; Steenland, Kyle";Pino, P., Iglesias, V., Garreaud, R., Cortés, S., Canals, M., Folch, W., … Steenland, K.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/pino_et_al_2015_chile_confronts_its_environmental_health_future_after_25_years_of_accelerated.pdf;;Dinámica del Clima;1.0;97.0;Chile Confronts its Environmental Health Future After 25 Years of Accelerated Growth;Annals of Global Health;vol.81 is.3;354-367;2015;1.0;1;;;;;0.0;0.0;0.0;10;;;;;90;otros;Annals of Global Health;2214-9996;ANN GLOB HEALTH;Public, Environmental & Occupational Health;109/173;63,0057803468208%;0;1,417;1,417;Q3;Chile Confronts its Environmental Health Future After 25 Years of Accelerated Growth;10.1016/j.aogh.2015.06.008;10.1016/j.aogh.2015.06.008;Chile Confronts its Environmental Health Future After 25 Years of Accelerated Growth;2.0;4;1;0;0;0;0;0;2;2;;;;;10.1016/j.aogh.2015.06.008;{GA 30322 USA, GA 30602 USA, Chile};"{ Univ Chile, Fac Med, Sch Publ Hlth, Santiago 7, Chile;  Univ Chile, Fac Phys Sci & Math, Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Chile, Fac Phys Sci & Math, Dept Geophys, Santiago, Chile;  Catholic Univ, Fac Med, Adv Ctr Chron Dis, Dept Publ Hlth, Santiago, Chile;  Minist Hlth Santiago, Subsecretariat Publ Hlth, Div Healthy Publ Policy & Advocacy, Dept Environm Hlth, Santiago, Chile;  Emory Univ, Rollins Sch Publ Hlth, Dept Environm Hlth, Atlanta, GA 30322 USA;  Univ Georgia, Coll Publ Hlth, Environm Hlth Sci, Athens, GA 30602 USA}";Chile Confronts its Environmental Health Future After 25 Years of Accelerated Growth;TRUE;1;1;5;4;;
98.0;2015;si;Modelación y Sistemas de Observación;MOS;2016;"Rojas, Maisa; Mac-Lean, Claudia; Morales, Juan; Monares, Andrés; Fustos, Roberto";Rojas, M., Mac-Lean, C., Morales, J., Monares, A., & Fustos, R.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/rojas_et_al_2016_climate_change_education_and_literacy_at_the_faculty_of_physical_and.pdf;;Modelación y Sistemas de Observación;1.0;98.0;Climate change education and literacy at the Faculty of Physical and Mathematical Sciences of the University of Chile;International Journal of Global Warming;vol.in press;1-19;2016;1.0;1;;;;;0.0;0.0;0.0;50;25;;;25.0;;;International Journal of Global Warming;1758-2083;INT J GLOBAL WARM;Environmental Sciences;151/225;67,1111111111111%;0;1,286;1,043;Q3;Climate change education and literacy at the Faculty of Physical and Mathematical Sciences of the University of Chile;10.1504/IJGW.2017.10005887;10.1504/IJGW.2017.10005887;Climate change education and literacy at the Faculty of Physical and Mathematical Sciences of the University of Chile;0.0;0;0;0;0;0;0;0;0;0;;;;;10.1504/IJGW.2017.10005887;{Chile};"{ Univ Chile, Fac Phys & Math Sci, Dept Geophys, Beauchef 850, Santiago, Chile;  Univ Chile, Fac Phys & Math Sci, Off Engn Sustainable Dev, Beauchef 850, Santiago, Chile;  Univ Chile, Fac Phys & Math Sci, Beauchef 850, Santiago, Chile;  Univ Chile, CSIRO, Chile Int Ctr Excellence Min & Mineral Proc, Adv Min Technol Ctr,Dept Min Engn, Beauchef 850, Santiago, Chile}";Climate change education and literacy at the Faculty of Physical and Mathematical Sciences of the University of Chile;TRUE;0;1;4;#N/D;;
99.0;2015;si;Dinámica del Clima;CD;2015;"Rubio, María; Lissi, Eduardo; Gramsch, Ernesto; Garreaud, René";Rubio, M., Lissi, E., Gramsch, E., & Garreaud, R.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/rubio_et_al_2015_effect_of_nearby_forest_fires_on_ground_level_ozone_concentrations_in_santiago,.pdf;;Dinámica del Clima;1.0;99.0;Effect of Nearby Forest Fires on Ground Level Ozone Concentrations in Santiago, Chile;Atmosphere;vol.6 is.12;1926-1938;2015;1.0;1;;;;;0.0;0.0;0.0;25;;;;;75;otros;Atmosphere;2073-4433;ATMOSPHERE-BASEL;Meteorology & Atmospheric Sciences;66/84;78,5714285714286%;0;1,221;1,517;Q4;Effect of Nearby Forest Fires on Ground Level Ozone Concentrations in Santiago, Chile;10.3390/atmos6121838;10.3390/atmos6121838;Effect of Nearby Forest Fires on Ground Level Ozone Concentrations in Santiago, Chile;1.0;4;1;0;0;0;0;0;1;3;;;;;10.3390/atmos6121838;{Chile};"{ Univ Santiago Chile, Fac Quim & Biol, USACH, Santiago 9160000, Chile;  Ctr Desarrollo Nanociencia & Nanotecnol CEDENNA U, Santiago 9160000, Chile;  Univ Santiago Chile, Fac Ciencia, Dept Fis, USACH, Santiago 9160000, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago 8320000, Chile;  Univ Chile, Dept Geophys, Santiago 8320000, Chile}";Effect of Nearby Forest Fires on Ground Level Ozone Concentrations in Santiago, Chile;TRUE;0;1;5;4;;
100.0;2015;si;Modelación y Sistemas de Observación;MOS;2016;"Saide, Pablo E.; Mena-Carrasco, Marcelo; Tolvett, Sebastian; Hernandez, Pablo; Carmichael, Gregory R.";Saide, P. E., Mena-Carrasco, M., Tolvett, S., Hernandez, P., & Carmichael, G. R.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/saide_et_al_2015_air_quality_forecasting_for_winter-time_pm_2.pdf;;Modelación y Sistemas de Observación;1.0;100.0;Air quality forecasting for winter-time PM 2.5 episodes occurring in multiple cities in central and southern Chile;Journal of Geophysical Research: Atmospheres;vol.121 is.1;558-575;2016;1.0;1;;;;;0.0;0.0;0.0;20;;;;;80;otros;Journal of Geophysical Research: Atmospheres;0148-0227;J GEOPHYS RES;Geosciences, Multidisciplinary;27/184;14,6739130434783%;0;3,318;3,651;Q1;Air quality forecasting for winter-time PM 2.5 episodes occurring in multiple cities in central and southern Chile;10.1002/2015JD023949;10.1002/2015JD023949;Air quality forecasting for winter-time PM2.5 episodes occurring in multiple cities in central and southern Chile;1.0;5;1,67;0;0;0;0;0;1;4;;;;;10.1002/2015JD023949;{IA USA, Chile, CO 80307 USA};"{ Minist Environm, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Natl Ctr Atmospher Res, Adv Study Program, POB 3000, Boulder, CO 80307 USA;  Natl Ctr Atmospher Res, Atmospher Chem Observat & Modeling Lab, POB 3000, Boulder, CO 80307 USA;  Univ Tecnol Metropolitana, Dept Mech Engn, Santiago, Chile;  Univ Iowa, Ctr Global & Reg Environm Res, Iowa City, IA USA}";Air quality forecasting for winter-time PM2.5 episodes occurring in multiple cities in central and southern Chile;TRUE;1;1;3;3;;
101.0;2015;si;Servicios Ecosistémicos;ECO;2016;"Swanson, Frederick J; Jones, Julia; Crisafulli, Charlie; González, Mauro E; Lara, Antonio";Swanson F., Jones, J., Crisafulli, C., González, M. E., & Lara, A.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2016/swanson_et_al_2016_puyehue-cordon_caulle_eruption_of_2011.pdf;;Servicios Ecosistémicos;1.0;101.0;Puyehue-Cordón Caulle eruption of 2011: tephra fall and initial forest responses in the Chilean Andes;Bosque;vol.37 is.1;85-96;2016;1.0;1;;;;;0.0;0.0;0.0;30;;;;;70;otros;Bosque;0717-9200;BOSQUE;Forestry;49/66;74,2424242424242%;0;0,556;0,7;Q3;Puyehue-Cordón Caulle eruption of 2011: tephra fall and initial forest responses in the Chilean Andes;10.4067/S0717-92002016000100009;10.4067/S0717-92002016000100009;Puyehue-Cordon Caulle eruption of 2011: tephra fall and initial forest responses in the Chilean Andes;3.0;5;1,67;0;0;0;0;1;2;2;;;;;10.4067/S0717-92002016000100009;{OR 97331 USA, Chile, WA 98502 USA};"{ US Forest Serv, Pacific NW Res Stn, 3200 Jefferson Way, Corvallis, OR 97331 USA;  Oregon State Univ, Coll Earth Ocean & Atmospher Sci, Corvallis, OR 97331 USA;  US Forest Serv, Pacific NW Res Stn, Olympia, WA 98502 USA;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile}";Puyehue-Cordon Caulle eruption of 2011: tephra fall and initial forest responses in the Chilean Andes;TRUE;1;;2;2;;
102.0;2015;si;Biogeoquímica;BGQ;2015;"Titschack, Jürgen; Baum, Daniel; de Pol-Holz, Ricardo; López Correa, Matthias; Forster, Nina; Flögel, Sascha; Hebbeln, Dierk; Freiwald, André";Titschack, J., Baum, D., de Pol-Holz, R., López Correa, M., Forster, N., Flögel, S., … Freiwald, A.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/titschack_et_al_2015_aggradation_and_carbonate_accumulation_of_holocene_norwegian_cold-water_coral.pdf;;Biogeoquímica;1.0;102.0;Aggradation and carbonate accumulation of Holocene Norwegian cold-water coral reefs;Sedimentology;vol.62 is.7;1873-1898;2015;1.0;1;;;;;0.0;0.0;0.0;10;;;;;90;otros;Sedimentology;0037-0746;SEDIMENTOLOGY;Geology;4/47;8,51063829787234%;1;3,216;3,525;Q1;Aggradation and carbonate accumulation of Holocene Norwegian cold-water coral reefs;10.1111/sed.12206;10.1111/sed.12206;Aggradation and carbonate accumulation of Holocene Norwegian cold-water coral reefs;8.0;11;2,75;0;0;0;1;4;3;3;;;;;10.1111/sed.12206;{Oman, Germany, Chile};"{ Univ Bremen, MARUM Ctr Marine Environm Sci, D-28359 Bremen, Germany;  SaM Senckenberg Meer, Abt Meeresforsch, D-26382 Wilhelmshaven, Germany;  ZIB, D-14195 Berlin, Germany;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Concepcion, Ctr Climate & Resilience CR2, Concepcion, Chile;  Univ Erlangen Nurnberg, GeoZentrum Nordbayern, D-91054 Erlangen, Germany;  German Univ Technol Oman GUtech, Muscat, Oman;  GEOMAR Helmholtz Zentrum Ozeanforsch Kiel, D-24148 Kiel, Germany}";Aggradation and carbonate accumulation of Holocene Norwegian cold-water coral reefs;TRUE;1;0;2;1;;
103.0;2015;si;Biogeoquímica;BGQ;2015;"Ugalde, Paula C.; Santoro, Calogero M.; Gayo, Eugenia M.; Latorre, Claudio; Maldonado, Sebastián; De Pol-Holz, Ricardo; Jackson, Donald";Ugalde, P. C., Santoro, C. M., Gayo, E. M., Latorre, C., Maldonado, S., de Pol-Holz, R., & Jackson, D.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/ugalde_et_al_2015_how_do_surficial_lithic_assemblages_weather_in_arid_environments.pdf;;Biogeoquímica;1.0;103.0;How Do Surficial Lithic Assemblages Weather in Arid Environments? A Case Study from the Atacama Desert, Northern Chile;Geoarchaeology;vol.30 is.4;352-368;2015;1.0;1;;;;;0.0;0.0;0.0;40;;;;;60;otros;Geoarchaeology;0883-6353;GEOARCHAEOLOGY;Geosciences, Multidisciplinary;117/184;63,5869565217391%;0;1,344;1,381;Q3;How Do Surficial Lithic Assemblages Weather in Arid Environments? A Case Study from the Atacama Desert, Northern Chile;10.1002/gea.21512;10.1002/gea.21512;How Do Surficial Lithic Assemblages Weather in Arid Environments? A Case Study from the Atacama Desert, Northern Chile;4.0;6;1,5;0;0;0;0;2;2;2;;;;;10.1002/gea.21512;{Chile};"{ Ctr Invest Hombre Desierto, Ctr Invest Hombre Desierto, Arica, Chile;  Univ Tarapaca, Inst Alta Invest, Lab Arqueol & Paleoambiente, Arica, Chile;  Univ Tarapaca, Inst Alta Invest, Arica, Chile;  Ctr Climate & Resilience Res CR 2, Santiago, Chile;  Pontificia Univ Catolica Chile, Dept Ecol, Santiago, Chile;  IEB, Santiago, Chile;  Univ Los Andes, Fac Ingn & Ciencias Aplicadas, Santiago, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Chile, Fac Ciencias Sociales, Dept Antropol, Santiago, Chile}";How Do Surficial Lithic Assemblages Weather in Arid Environments? A Case Study from the Atacama Desert, Northern Chile;TRUE;0;1;9;9;;
104.0;2015;si;Dimensión Humana;HD;2015;"Urquiza, Anahi; Morales, Bárbara";Urquiza, A., & Morales, B. ;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/urquiza_morales_2015_la_observacion_del_problema_ambiental_en_un_contexto_de_diferenciacion_funcional.pdf;;Dimensión Humana;1.0;104.0;La observación del problema ambiental en un contexto de diferenciación funcional;Revista Mad*;is.33;64-93;2015;0.0;;;;;;;;;100;;;;;;;Revista Mad*;0718-0527;;;;;;;;;La observación del problema ambiental en un contexto de diferenciación funcional;10.5354/0718-0527.2015.37324;10.5354/0718-0527.2015.37324;The Observation of the Environmental Problem in the Context of Functional Differentiation;0.0;0;0;0;0;0;0;0;0;0;;;;;10.5354/0718-0527.2015.37324;{Chile};"{ Univ Chile, Ctr Clima & Resiliencia Cr2, Nucl Interdisciplinario Estudios Socioambientales, Dept Anthropol, Santiago 6850331, Chile;  Univ Chile, Ctr Clima & Resiliencia Cr2, Nucl Interdisciplinario Estudios Socioambientales, Santiago 6850331, Chile}";The Observation of the Environmental Problem in the Context of Functional Differentiation;TRUE;0;1;2;#N/D;;
105.0;2015;si;Servicios Ecosistémicos;ECO;2015;"Urrutia-Jalabert, Rocío; Malhi, Yadvinder; Lara, Antonio";Urrutia-Jalabert, R., Malhi, Y., & Lara, A.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/urrutia-jalabert_et_al_2015_the_oldest_,_slowest_rainforests_in_the_world.pdf;;Servicios Ecosistémicos;1.0;105.0;The Oldest , Slowest Rainforests in the World ? Massive Biomass and Slow Carbon Dynamics of Fitzroya cupressoides Temperate Forests in Southern Chile;PloS one;vol.10 is.9;art0137569;2015;2.0;1;;;;;1.0;0.0;0.0;30;;;;;70;otros;PloS one;1932-6203;PLOS ONE;Multidisciplinary Sciences;11/63;17,4603174603175%;0;3,057;3,535;Q1;The Oldest , Slowest Rainforests in the World ? Massive Biomass and Slow Carbon Dynamics of Fitzroya cupressoides Temperate Forests in Southern Chile;10.1371/journal.pone.0137569;10.1371/journal.pone.0137569;The Oldest, Slowest Rainforests in the World? Massive Biomass and Slow Carbon Dynamics of Fitzroya cupressoides Temperate Forests in Southern Chile;4.0;7;1,75;0;0;0;1;0;3;3;;;;;10.1371/journal.pone.0137569;{England, Chile};"{ Univ Oxford, Environm Change Inst, Sch Geog & Environm, Oxford OX1 3QY, England;  Univ Austral Chile, Lab Dendrocronol & Cambio Global, Inst Conservac Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Valdivia, Chile;  Univ Chile, Fac Ciencias Fis & Matemat, Ctr Climate & Resilience Res CR2, Santiago, Chile;  Fdn Ctr Ios Bosques Nativos FORECOS, Valdivia, Chile}";The Oldest, Slowest Rainforests in the World? Massive Biomass and Slow Carbon Dynamics of Fitzroya cupressoides Temperate Forests in Southern Chile;TRUE;1;1;3;3;;
106.0;2015;si;Servicios Ecosistémicos;ECO;2015;"Urrutia-Jalabert, Rocío; Malhi, Yadvinder; Barichivich, Jonathan; Lara, Antonio; Delgado-Huertas, Antonio; Rodríguez, Carmen Gloria; Cuq, Emilio";Urrutia-Jalabert, R., Malhi, Y., Barichivich, J., Lara, A., Delgado-Huertas, A., Rodríguez, C. G., & Cuq, E.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/urrutia-jalabert_et_al_2015_increased_water_use_efficiency_but_contrasting_tree_growth_patterns_in_fitzroya.pdf;;Servicios Ecosistémicos;1.0;106.0;Increased water use efficiency but contrasting tree growth patterns in Fitzroya cupressoides forests of southern Chile during recent decades;Journal of Geophysical Research: Biogeosciences;vol.120 is.12;2505-2524;2015;2.0;1;;;;;1.0;0.0;0.0;60;15;;;;25;otros;Journal of Geophysical Research: Biogeosciences;0148-0227;J GEOPHYS RES;Geosciences, Multidisciplinary;27/184;14,6739130434783%;0;3,318;3,651;Q1;Increased water use efficiency but contrasting tree growth patterns in Fitzroya cupressoides forests of southern Chile during recent decades;10.1002/2015JG003098;10.1002/2015JG003098;Increased water use efficiency but contrasting tree growth patterns in Fitzroya cupressoides forests of southern Chile during recent decades;5.0;14;3,5;0;0;0;0;0;5;9;;;;;10.1002/2015JG003098;{England, Spain, Chile};"{ Univ Oxford, Environm Change Inst, Sch Geog & Environm, Oxford, England;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Lab Dendrocronol & Cambio Global, Valdivia, Chile;  Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England;  Univ Chile, Ctr Climate & Resilience Res, Fac Ciencias Fis & Matemat, Santiago, Chile;  Fdn Ctr Bosques Nativos FORECOS, Valdivia, Chile;  Inst Andaluz Ciencias Tierra IACT CSIC UGR, Lab Biogeoquim Isotopos Estables, Granada, Spain}";Increased water use efficiency but contrasting tree growth patterns in Fitzroya cupressoides forests of southern Chile during recent decades;TRUE;1;1;3;3;;
107.0;2015;si;Biogeoquímica;BGQ;2015;"Valenzuela, Daniela; Santoro, Calogero M.; Capriles, José M.; Quinteros, María José; Peredo, Ronny; Gayo, Eugenia M.; Montt, Indira; Sepúlveda, Marcela";Valenzuela, D., Santoro, C. M., Capriles, J. M., Quinteros, M. J., Peredo, R., Gayo, E. M., … Sepúlveda, M.;/home/fmunoz/Dropbox/CR2_FM/Documents/3Intranet/I_REPORTES/PUB_ZOTFILE//Journal Article/2015/valenzuela_et_al_2015_consumption_of_animals_beyond_diet_in_the_atacama_desert,_northern_chile.pdf;;Biogeoquímica;1.0;107.0;Consumption of animals beyond diet in the Atacama Desert, northern Chile (13,000-410BP): Comparing rock art motifs and archaeofaunal records;Journal of Anthropological Archaeology;vol.40;250-265;2015;1.0;1;;;;;0.0;0.0;0.0;30;;;;;70;otros;Journal of Anthropological Archaeology;0278-4165;J ANTHROPOL ARCHAEOL;Anthropology;24/84;28,5714285714286%;0;1,559;1,995;Q2;Consumption of animals beyond diet in the Atacama Desert, northern Chile (13,000-410BP): Comparing rock art motifs and archaeofaunal records;10.1016/j.jaa.2015.09.004;10.1016/j.jaa.2015.09.004;Consumption of animals beyond diet in the Atacama Desert, northern Chile (13,000-410 BP): Comparing rock art motifs and archaeofaunal records;6.0;9;2,25;0;0;0;0;1;5;3;;;;;10.1016/j.jaa.2015.09.004;{Chile};"{ Univ Alberto Hurtado, Fac Ciencias Sociales, Dept Anthropol, Santiago 6500620, Chile;  Univ Tarapaca, Inst Alta Invest, Lab Arqueol & Paleoambiente, Arica 1001236, Chile;  Univ Tarapaca, Fac Ciencias Sociales & Jurid, Dept Anthropol, Arica 1010069, Chile;  Univ Tarapaca, Fac Ciencias Sociales & Jurid, Dept Anthropol, Carrera Antropol, Arica 1001393, Chile;  Red Observ Aves & Vida Silvestre Chile ROC, Arica 1020137, Chile;  Univ Concepcion, Fac Ciencias Nat & Oceanog, Dept Oceanog, Concepcion 4070386, Chile;  Ctr Climate & Resilience Res CR2, Concepcion 4070386, Chile;  Univ Catolica Norte, Inst Invest Arqueol & Museo, San Pedro De Atacama, Chile;  Univ Tarapaca, Inst Alta Invest, Arica 1001236, Chile}";Consumption of animals beyond diet in the Atacama Desert, northern Chile (13,000-410 BP): Comparing rock art motifs and archaeofaunal records;TRUE;0;1;9;8;;
